iter_global,activityType,raw_data_samp_time[ms],binLineWr_time[ms],iterTime_binlineIdx[ms],distLuna [cm],strengthLuna[Amp],tempLuna[Cdeg],mpuAngle[deg],mpuTotGyro[rad/sec],mpuTotAcc[m/s^2],mpu_gyroX[rad/sec],mpu_gyroY[rad/sec],mpu_GyroZ[rad/sec],mpu_accX[m/s^2],mpu_accY[m/s^2],mpu_accZ[m/s^2],vl1_dist[cm],vl2_dist[cm],vl3_dist[cm],VLAngle[deg],fusedAngle[deg],spincount,bucket10,digit,currentTopDir,currentHammerDir,currentSystemMode,currentTopMode,currentHammerMode
0,5,33573.180,33576.000,33576.000,0,0,0.000,0.200,0.323,9.589,-0.225,0.158,0.170,0.740,0.747,9.531,11.000,73.000,120.000,-57.296,0.200,0,0,0,0,0,0,0,0
1,5,33593.160,33596.000,20.000,0,0,0.000,0.386,0.314,9.518,-0.210,0.173,0.158,0.709,0.493,9.479,9.000,74.000,120.000,-57.296,0.386,0,0,0,0,0,0,0,0
2,5,33613.160,33616.000,20.000,0,0,0.000,0.564,0.300,9.571,-0.184,0.177,0.157,0.699,0.522,9.531,13.000,71.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
3,5,33633.148,33636.000,20.000,0,0,0.000,0.564,0.276,9.513,-0.157,0.174,0.145,0.555,0.500,9.483,11.000,73.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
4,5,33653.160,33656.000,20.000,0,0,0.000,0.564,0.283,9.740,-0.173,0.186,0.124,0.764,0.761,9.680,15.000,70.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
5,5,33673.160,33676.000,20.000,0,0,0.000,0.564,0.327,9.663,-0.210,0.224,0.114,0.718,0.563,9.620,11.000,73.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
6,5,33693.160,33696.000,20.000,0,0,0.000,0.564,0.335,9.590,-0.215,0.231,0.112,0.515,0.469,9.565,12.000,69.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
7,5,33713.152,33716.000,20.000,0,0,0.000,0.564,0.303,9.494,-0.190,0.201,0.122,0.321,0.232,9.486,12.000,71.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
8,5,33733.148,33736.000,20.000,0,0,0.000,0.564,0.253,9.395,-0.142,0.160,0.134,0.275,0.146,9.390,13.000,71.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
9,5,33753.164,33756.000,20.000,0,0,0.000,0.564,0.226,9.496,-0.107,0.136,0.145,0.503,0.271,9.479,11.000,71.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
10,5,33773.160,33776.000,20.000,0,0,0.000,0.697,0.226,9.576,-0.097,0.139,0.150,0.431,0.285,9.562,10.000,72.000,120.000,-57.296,0.697,0,0,0,0,0,0,0,0
11,5,33793.160,33796.000,20.000,0,0,0.000,0.740,0.202,9.521,-0.069,0.119,0.148,0.136,0.115,9.519,11.000,71.000,120.000,-57.296,0.740,0,0,0,0,0,0,0,0
12,5,33813.160,33816.000,20.000,0,0,0.000,0.827,0.169,9.462,-0.036,0.062,0.152,0.144,0.136,9.459,12.000,70.000,120.000,-57.296,0.827,0,0,0,0,0,0,0,0
13,5,33828.137,33833.000,17.000,0,0,0.000,0.827,0.158,9.605,-0.022,0.049,0.149,0.340,0.235,9.596,12.000,70.000,120.000,-57.296,0.827,0,0,0,0,0,0,0,0
14,5,33853.168,33856.000,23.000,0,0,0.000,0.870,0.149,9.571,-0.003,0.040,0.144,0.397,0.316,9.558,11.000,68.000,120.000,-57.296,0.870,0,0,0,0,0,0,0,0
15,5,33873.160,33876.000,20.000,0,0,0.000,0.914,0.161,9.621,-0.003,0.049,0.153,0.400,0.292,9.608,12.000,68.000,120.000,-57.296,0.914,0,0,0,0,0,0,0,0
16,5,33893.160,33896.000,20.000,0,0,0.000,1.000,0.149,9.534,0.009,0.034,0.145,0.182,0.139,9.531,10.000,69.000,120.000,-57.296,1.000,0,0,0,0,0,0,0,0
17,5,33913.160,33916.000,20.000,0,0,0.000,1.000,0.132,9.577,0.038,0.007,0.126,0.239,0.208,9.572,14.000,70.000,120.000,-57.296,1.000,0,0,0,0,0,0,0,0
18,5,33933.160,33936.000,20.000,0,0,0.000,1.000,0.103,9.667,0.045,0.004,0.093,0.285,0.287,9.658,10.000,69.000,120.000,-57.296,1.000,0,0,0,0,0,0,0,0
19,5,33953.168,33956.000,20.000,0,0,0.000,1.000,0.081,9.619,0.050,0.017,0.062,0.318,0.333,9.608,10.000,66.000,120.000,-57.296,1.000,0,0,0,0,0,0,0,0
